Timestep,Glucose,Insulin
412,104.02406,0.09766475
413,103.91625,0.097747208
414,103.81206,0.097765649
415,103.71112,0.097785513
416,103.61543,0.097741191
417,103.52454,0.097698635
418,103.44036,0.097592739
419,103.36232,0.097489947
420,103.29224,0.097325636
421,103.22945,0.097166715
422,103.17562,0.096949003
423,103.12995,0.09673983
424,103.09397,0.096475409
425,103.06675,0.096223433
426,103.04966,0.095920444
427,103.04163,0.09563443
428,103.04389,0.095302192
429,103.0552,0.094991937
430,103.07664,0.094640646
431,103.10685,0.094316663
432,103.14675,0.093957064
433,103.19483,0.093630247
434,103.25188,0.093273298
435,103.31626,0.092954581
436,103.38864,0.092611106
437,103.46725,0.092311123
438,103.55266,0.091991483
439,103.64299,0.091720238
440,103.73874,0.091434005
441,103.83793,0.091200567
442,103.94099,0.090956234
443,104.04589,0.090768452
444,104.153,0.090573168
445,104.26026,0.090437435
446,104.36803,0.090296785
447,104.47424,0.090217834
448,104.57923,0.090135662
449,104.68097,0.090116419
450,104.77984,0.090094708
451,104.87383,0.090136197
452,104.9634,0.090175004
453,105.0466,0.090276311
454,105.12398,0.090373758
455,105.19369,0.090532057
456,105.25638,0.090684388
457,105.31031,0.090895024
458,105.35628,0.091096723
459,105.39269,0.091353358
460,105.42045,0.091597319
461,105.43814,0.091892135
462,105.44683,0.092169888
463,105.44523,0.092493837
464,105.43459,0.092795826
465,105.41378,0.093138921
466,105.38422,0.093454814
467,105.34493,0.09380646
468,105.29747,0.094125486
469,105.24102,0.094474826
470,105.1773,0.094786132
471,105.10561,0.095122409
472,105.02778,0.095415421
473,104.94325,0.095728329
474,104.85394,0.095993097
475,104.75938,0.096273125
476,104.66156,0.096500655
477,104.5601,0.096739399
478,104.45703,0.096921943
479,104.35199,0.097112375
480,104.24704,0.097243684
481,104.14184,0.09738038
482,104.03843,0.097455896
483,103.93644,0.097535203
484,103.83789,0.097552204
485,103.74237,0.097572346
486,103.65182,0.097530013
487,103.56576,0.097491135
488,103.48606,0.097390572
489,103.41213,0.09729472
490,103.34575,0.097138895
491,103.28621,0.096989932
492,103.23518,0.096783568
493,103.19182,0.096587037
494,103.15766,0.096336446
495,103.13174,0.096099373
496,103.11545,0.095812241
497,103.10769,0.095542907
498,103.1097,0.095228037
499,103.12024,0.094935699
500,103.14041,0.094602729
501,103.16883,0.094297325
502,103.20647,0.093956417
503,103.25182,0.093648251
504,103.30569,0.093309768
505,103.36647,0.093009185
506,103.43486,0.092683371
507,103.50912,0.092400435
508,103.58985,0.092097095
509,103.67522,0.091841274
510,103.76574,0.091569472
511,103.8595,0.091349353
512,103.95695,0.091117128
513,104.05611,0.090940145
514,104.15741,0.090754269
515,104.25882,0.090626477
516,104.36075,0.090492241
517,104.46117,0.090418126
518,104.56049,0.090339174
519,104.65669,0.090321511
520,104.75022,0.090299728
521,104.83911,0.090339492
522,104.92386,0.090374937
523,105.00255,0.090471273
524,105.07578,0.090562179
525,105.14173,0.090712419
526,105.20108,0.090855241
527,105.25214,0.091054992
528,105.29569,0.09124452
529,105.33018,0.091487795
530,105.35655,0.091717317
531,105.37335,0.091996732
532,105.38169,0.092258247
533,105.38028,0.092565253
534,105.37035,0.092849734
535,105.35079,0.093174896
536,105.32299,0.09347258
537,105.28595,0.093805887
538,105.24123,0.094106597
539,105.18799,0.094437791
540,105.12788,0.09473127
541,105.06022,0.095050183
542,104.98677,0.095326437
543,104.90694,0.095623328
544,104.82262,0.09587295
545,104.7333,0.096138825
546,104.64092,0.096353308
547,104.54503,0.096580215
548,104.44765,0.096752228
549,104.34836,0.096933516
550,104.24917,0.097057139
551,104.14968,0.097187667
552,104.05191,0.097258579
553,103.95543,0.097334878
554,103.86222,0.097350489
555,103.77181,0.097370864
556,103.68613,0.097330382
557,103.60465,0.097294953
558,103.5292,0.097199403
559,103.45916,0.097110084
560,103.39628,0.096962255
561,103.33984,0.096822683
562,103.29145,0.096627025
563,103.2503,0.096442423
564,103.21786,0.096204889
565,103.1932,0.095981891
566,103.17766,0.095709737
567,103.17017,0.095456161
568,103.17195,0.095157705
569,103.18177,0.0948823
570,103.20074,0.09456665
571,103.22749,0.094278813
572,103.26299,0.093955577
573,103.30576,0.093665051
574,103.35663,0.093344035
575,103.41401,0.093060607
576,103.47864,0.092751502
577,103.54878,0.092484695
578,103.62509,0.092196781
579,103.70576,0.09195556
580,103.79134,0.091697417
581,103.87996,0.09148991
582,103.97211,0.09126915
583,104.06585,0.091102397
584,104.16164,0.090925435
585,104.25752,0.090805171
586,104.35393,0.090677019
587,104.44888,0.090607494
588,104.54282,0.090531607
589,104.63379,0.090515456
590,104.72227,0.090493623
591,104.80634,0.090531775
592,104.88652,0.09056406
593,104.96096,0.090655713
594,105.03027,0.090740451
595,105.09266,0.090883089
596,105.14886,0.091016937
597,105.19718,0.091206412
598,105.23845,0.091384448
599,105.27113,0.091615107
600,105.29616,0.091830991
601,105.31213,0.092095858
602,105.32013,0.092342034
603,105.31889,0.092633032
604,105.30964,0.09290097
605,105.29125,0.093209186
606,105.26509,0.093489661
607,105.23019,0.093805637
608,105.18805,0.094089033
609,105.13781,0.094403073
610,105.08113,0.094679698
611,105.01725,0.094982193
612,104.94794,0.095242599
613,104.87256,0.09552434
614,104.79295,0.095759634
615,104.70856,0.096012116
616,104.62131,0.096214251
617,104.5307,0.096429951
618,104.43869,0.096591989
619,104.34482,0.096764611
620,104.25107,0.096880946
621,104.15699,0.097005619
622,104.06455,0.097072154
623,103.97328,0.097145584
624,103.88512,0.097159854
625,103.79956,0.097180422
626,103.71849,0.097141663
627,103.64134,0.097109466
628,103.56991,0.09701863
629,103.50357,0.096935462
630,103.44401,0.096795169
631,103.39049,0.096664451
632,103.34463,0.096478893
633,103.30556,0.096305551
634,103.27478,0.096080344
635,103.2513,0.095870638
636,103.23649,0.095612632
637,103.22926,0.095373945
638,103.23083,0.095090999
639,103.23998,0.0948316
640,103.25782,0.094532322
641,103.28299,0.094261092
642,103.31648,0.093954569
643,103.35681,0.093680725
644,103.40485,0.09337623
645,103.45903,0.09310903
646,103.52008,0.092815734
647,103.58634,0.09256419
648,103.65847,0.092290875
649,103.73469,0.092063472
650,103.81561,0.091818259
651,103.89936,0.091622692
652,103.9865,0.09141279
653,104.07511,0.091255726
654,104.16571,0.09108721
655,104.25635,0.090974081
656,104.34753,0.090851699
657,104.43731,0.090786534
658,104.52617,0.090713562
659,104.6122,0.090698858
660,104.69591,0.090676996
661,104.77541,0.090713641
662,104.85128,0.090742956
663,104.92169,0.090830197
664,104.98728,0.090909121
665,105.04631,0.091044588
